Task ID,Task Type,Duration in min,Day of Week,has Description,has Address,has URL,Priority,is Complete,Start Time,End Time,hour_end,minute_end,hour_start,minute_start,hour_start_sin,hour_start_cos,minute_start_sin,minute_start_cos
1,personal,90,Wednesday,True,False,True,medium,True,13:00,14:30,14.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
2,work,120,Wednesday,True,False,False,medium,True,15:00,17:00,17.0,0.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
3,coding,120,Tuesday,True,False,False,low,True,07:00,09:00,9.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
4,work,90,Friday,True,False,False,high,True,07:00,08:30,8.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
5,work,60,Friday,True,False,False,ASAP,True,19:00,20:00,20.0,0.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
6,workout,60,Wednesday,False,False,False,ASAP,True,08:00,09:00,9.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
7,coding,120,Wednesday,False,False,False,low,True,10:00,12:00,12.0,0.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
8,coding,180,Wednesday,True,False,False,ASAP,True,08:00,11:00,11.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
9,coding,240,Wednesday,False,False,False,medium,True,13:00,17:00,17.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
10,work,30,Wednesday,True,False,False,medium,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
11,personal,30,Wednesday,True,False,False,low,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
12,coding,210,Tuesday,False,False,False,ASAP,False,14:00,,,,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
13,work,30,Friday,True,False,False,low,True,09:00,09:30,9.0,30.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
14,workout,60,Wednesday,True,False,False,ASAP,True,19:00,20:00,20.0,0.0,19,0,-0.9659258262890684,0.2588190451025203,0.0,1.0
15,personal,120,Friday,True,False,False,ASAP,False,20:00,,,,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
16,workout,60,Tuesday,False,True,False,ASAP,True,08:00,09:00,9.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
17,personal,120,Friday,True,True,False,high,True,10:00,12:00,12.0,0.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
18,work,60,Friday,True,False,False,medium,False,13:00,,,,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
19,meeting,30,Thursday,False,True,False,ASAP,True,13:00,13:30,13.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
20,personal,120,Friday,True,False,False,medium,True,11:00,13:00,13.0,0.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
21,workout,60,Wednesday,False,False,False,ASAP,True,09:00,10:00,10.0,0.0,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
22,work,90,Friday,True,False,False,ASAP,True,07:00,08:30,8.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
23,personal,30,Wednesday,True,False,False,medium,True,15:00,15:30,15.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
24,meeting,30,Monday,True,False,True,medium,True,13:00,13:30,13.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
25,meeting,30,Monday,True,False,True,ASAP,True,13:00,13:30,13.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
26,coding,180,Wednesday,True,False,True,medium,True,10:00,13:00,13.0,0.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
27,coding,150,Wednesday,True,False,False,medium,True,07:00,09:30,9.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
28,workout,60,Monday,False,False,False,low,True,07:30,08:30,8.0,30.0,7,30,0.9659258262890683,-0.25881904510252063,5.66553889764798e-16,-1.0
29,personal,90,Friday,True,True,False,medium,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
30,personal,120,Friday,False,False,False,medium,True,13:00,15:00,15.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
31,coding,150,Wednesday,True,False,False,ASAP,True,07:00,09:30,9.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
32,personal,30,Friday,False,True,True,high,True,13:00,13:30,13.0,30.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
33,personal,60,Wednesday,True,False,False,medium,True,20:00,21:00,21.0,0.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
34,meeting,15,Thursday,True,True,True,high,True,10:00,10:15,10.0,15.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
35,coding,180,Tuesday,False,False,False,medium,True,11:00,14:00,14.0,0.0,11,0,0.258819045102521,-0.9659258262890682,0.0,1.0
36,work,30,Friday,True,False,False,high,True,18:00,18:30,18.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
37,coding,240,Wednesday,False,False,False,ASAP,True,07:00,11:00,11.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
38,work,30,Friday,True,False,False,ASAP,True,10:00,10:30,10.0,30.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
39,meeting,15,Friday,True,False,True,ASAP,True,12:00,12:15,12.0,15.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
40,workout,60,Monday,False,False,False,ASAP,False,07:00,,,,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
41,personal,30,Wednesday,True,False,False,low,True,18:00,18:30,18.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
42,meeting,60,Monday,True,False,True,medium,True,16:00,17:00,17.0,0.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
43,personal,90,Friday,False,False,False,ASAP,True,16:00,17:30,17.0,30.0,16,0,-0.8660254037844384,-0.5000000000000004,0.0,1.0
44,workout,90,Tuesday,True,False,False,low,True,19:30,21:00,21.0,0.0,19,30,-0.9659258262890684,0.2588190451025203,5.66553889764798e-16,-1.0
45,workout,60,Wednesday,False,True,False,low,False,09:00,,,,9,0,0.7071067811865476,-0.7071067811865475,0.0,1.0
46,meeting,60,Thursday,True,True,True,high,True,14:00,15:00,15.0,0.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
47,workout,60,Monday,False,False,False,low,True,12:30,13:30,13.0,30.0,12,30,1.2246467991473532e-16,-1.0,5.66553889764798e-16,-1.0
48,work,60,Friday,True,False,False,low,True,13:00,14:00,14.0,0.0,13,0,-0.2588190451025208,-0.9659258262890683,0.0,1.0
49,workout,120,Wednesday,True,False,False,low,True,08:00,10:00,10.0,0.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
50,personal,30,Wednesday,True,False,False,ASAP,True,18:00,18:30,18.0,30.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0
51,personal,30,Friday,True,False,True,medium,True,08:00,08:30,8.0,30.0,8,0,0.8660254037844387,-0.49999999999999983,0.0,1.0
52,personal,90,Wednesday,True,False,False,high,True,15:00,16:30,16.0,30.0,15,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0
53,personal,60,Friday,True,False,False,high,True,12:00,13:00,13.0,0.0,12,0,1.2246467991473532e-16,-1.0,0.0,1.0
54,work,30,Friday,True,False,False,medium,True,07:00,07:30,7.0,30.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
55,coding,180,Wednesday,False,False,False,ASAP,True,10:00,13:00,13.0,0.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
56,meeting,15,Monday,True,False,True,medium,True,14:00,14:15,14.0,15.0,14,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
57,personal,30,Friday,True,False,False,high,True,20:00,20:30,20.0,30.0,20,0,-0.8660254037844386,0.5000000000000001,0.0,1.0
58,workout,60,Monday,True,False,False,low,True,07:00,08:00,8.0,0.0,7,0,0.9659258262890683,-0.25881904510252063,0.0,1.0
59,personal,90,Friday,True,True,False,low,True,10:00,11:30,11.0,30.0,10,0,0.49999999999999994,-0.8660254037844387,0.0,1.0
60,workout,60,Friday,True,False,False,ASAP,True,18:30,19:30,19.0,30.0,18,30,-1.0,-1.8369701987210297e-16,5.66553889764798e-16,-1.0
